"Codice Regione";"Regione";"Età";"Maschi";"Femmine";"Totale"
"13";"Abruzzo";0;4217;3866;8083
"13";"Abruzzo";1;4226;4103;8329
"13";"Abruzzo";2;4341;4079;8420
"13";"Abruzzo";3;4403;4246;8649
"13";"Abruzzo";4;4611;4414;9025
"13";"Abruzzo";5;5014;4668;9682
"13";"Abruzzo";6;5233;4924;10157
"13";"Abruzzo";7;5307;4989;10296
"13";"Abruzzo";8;5370;5062;10432
"13";"Abruzzo";9;5461;5136;10597
"13";"Abruzzo";10;5684;5463;11147
"13";"Abruzzo";11;5890;5397;11287
"13";"Abruzzo";12;5960;5624;11584
"13";"Abruzzo";13;5869;5539;11408
"13";"Abruzzo";14;6092;5763;11855
"13";"Abruzzo";15;5958;5676;11634
"13";"Abruzzo";16;5964;5588;11552
"13";"Abruzzo";17;5943;5751;11694
"13";"Abruzzo";18;6180;5610;11790
"13";"Abruzzo";19;6105;5592;11697
"13";"Abruzzo";20;6067;5492;11559
"13";"Abruzzo";21;6157;5778;11935
"13";"Abruzzo";22;6432;5713;12145
"13";"Abruzzo";23;6354;5784;12138
"13";"Abruzzo";24;6496;5976;12472
"13";"Abruzzo";25;6465;5854;12319
"13";"Abruzzo";26;6469;6096;12565
"13";"Abruzzo";27;6533;5926;12459
"13";"Abruzzo";28;6559;6235;12794
"13";"Abruzzo";29;6792;6299;13091
"13";"Abruzzo";30;7004;6536;13540
"13";"Abruzzo";31;6893;6555;13448
"13";"Abruzzo";32;7043;6710;13753
"13";"Abruzzo";33;7103;6661;13764
"13";"Abruzzo";34;7178;6861;14039
"13";"Abruzzo";35;6993;6869;13862
"13";"Abruzzo";36;7238;7081;14319
"13";"Abruzzo";37;7489;7296;14785
"13";"Abruzzo";38;7665;7396;15061
"13";"Abruzzo";39;7653;7406;15059
"13";"Abruzzo";40;7868;7896;15764
"13";"Abruzzo";41;7945;7800;15745
"13";"Abruzzo";42;8198;7937;16135
"13";"Abruzzo";43;8523;8331;16854
"13";"Abruzzo";44;8878;8627;17505
"13";"Abruzzo";45;8926;8718;17644
"13";"Abruzzo";46;9244;9163;18407
"13";"Abruzzo";47;9343;9621;18964
"13";"Abruzzo";48;9936;9847;19783
"13";"Abruzzo";49;9617;9890;19507
"13";"Abruzzo";50;9952;10121;20073
"13";"Abruzzo";51;9973;10462;20435
"13";"Abruzzo";52;9875;10180;20055
"13";"Abruzzo";53;10333;10557;20890
"13";"Abruzzo";54;10192;10397;20589
"13";"Abruzzo";55;10184;10651;20835
"13";"Abruzzo";56;10372;10722;21094
"13";"Abruzzo";57;10356;10729;21085
"13";"Abruzzo";58;10469;10659;21128
"13";"Abruzzo";59;9746;10176;19922
"13";"Abruzzo";60;9313;9809;19122
"13";"Abruzzo";61;8948;9810;18758
"13";"Abruzzo";62;8853;9599;18452
"13";"Abruzzo";63;8669;9405;18074
"13";"Abruzzo";64;8354;9001;17355
"13";"Abruzzo";65;8233;8856;17089
"13";"Abruzzo";66;8168;8575;16743
"13";"Abruzzo";67;7942;8709;16651
"13";"Abruzzo";68;7790;8537;16327
"13";"Abruzzo";69;7260;7981;15241
"13";"Abruzzo";70;7191;7928;15119
"13";"Abruzzo";71;6970;8036;15006
"13";"Abruzzo";72;7290;8061;15351
"13";"Abruzzo";73;7299;8208;15507
"13";"Abruzzo";74;7225;8309;15534
"13";"Abruzzo";75;6769;7751;14520
"13";"Abruzzo";76;6540;7379;13919
"13";"Abruzzo";77;4659;5629;10288
"13";"Abruzzo";78;4964;5852;10816
"13";"Abruzzo";79;4594;5710;10304
"13";"Abruzzo";80;4277;5421;9698
"13";"Abruzzo";81;4171;5312;9483
"13";"Abruzzo";82;4486;5969;10455
"13";"Abruzzo";83;4282;5903;10185
"13";"Abruzzo";84;3723;5158;8881
"13";"Abruzzo";85;3464;4852;8316
"13";"Abruzzo";86;2883;4353;7236
"13";"Abruzzo";87;2644;4176;6820
"13";"Abruzzo";88;2186;3748;5934
"13";"Abruzzo";89;1880;3485;5365
"13";"Abruzzo";90;1474;2761;4235
"13";"Abruzzo";91;1237;2565;3802
"13";"Abruzzo";92;1034;2290;3324
"13";"Abruzzo";93;731;1736;2467
"13";"Abruzzo";94;513;1331;1844
"13";"Abruzzo";95;386;1100;1486
"13";"Abruzzo";96;232;766;998
"13";"Abruzzo";97;178;610;788
"13";"Abruzzo";98;119;439;558
"13";"Abruzzo";99;64;281;345
"13";"Abruzzo";100;122;503;625
"13";"Abruzzo";999;621458;648402;1269860
"17";"Basilicata";0;1749;1492;3241
"17";"Basilicata";1;1737;1595;3332
"17";"Basilicata";2;1862;1656;3518
"17";"Basilicata";3;1921;1737;3658
"17";"Basilicata";4;1862;1818;3680
"17";"Basilicata";5;2077;1843;3920
"17";"Basilicata";6;2058;1943;4001
"17";"Basilicata";7;2089;1972;4061
"17";"Basilicata";8;2068;1997;4065
"17";"Basilicata";9;2092;1940;4032
"17";"Basilicata";10;2327;2092;4419
"17";"Basilicata";11;2273;2140;4413
"17";"Basilicata";12;2347;2206;4553
"17";"Basilicata";13;2477;2265;4742
"17";"Basilicata";14;2538;2341;4879
"17";"Basilicata";15;2514;2320;4834
"17";"Basilicata";16;2602;2371;4973
"17";"Basilicata";17;2573;2398;4971
"17";"Basilicata";18;2719;2648;5367
"17";"Basilicata";19;2857;2514;5371
"17";"Basilicata";20;2871;2643;5514
"17";"Basilicata";21;2943;2613;5556
"17";"Basilicata";22;3042;2663;5705
"17";"Basilicata";23;3016;2703;5719
"17";"Basilicata";24;3047;2586;5633
"17";"Basilicata";25;2994;2670;5664
"17";"Basilicata";26;3003;2679;5682
"17";"Basilicata";27;2968;2699;5667
"17";"Basilicata";28;2992;2777;5769
"17";"Basilicata";29;3094;2771;5865
"17";"Basilicata";30;3261;2959;6220
"17";"Basilicata";31;3071;2905;5976
"17";"Basilicata";32;3283;3017;6300
"17";"Basilicata";33;3202;2919;6121
"17";"Basilicata";34;3204;2953;6157
"17";"Basilicata";35;3187;2909;6096
"17";"Basilicata";36;3109;2859;5968
"17";"Basilicata";37;3252;2982;6234
"17";"Basilicata";38;3282;3079;6361
"17";"Basilicata";39;3213;3112;6325
"17";"Basilicata";40;3227;3230;6457
"17";"Basilicata";41;3278;3168;6446
"17";"Basilicata";42;3283;3180;6463
"17";"Basilicata";43;3422;3235;6657
"17";"Basilicata";44;3646;3429;7075
"17";"Basilicata";45;3573;3650;7223
"17";"Basilicata";46;3932;3828;7760
"17";"Basilicata";47;3838;3994;7832
"17";"Basilicata";48;4075;4011;8086
"17";"Basilicata";49;3982;3994;7976
"17";"Basilicata";50;3989;4164;8153
"17";"Basilicata";51;4043;4195;8238
"17";"Basilicata";52;4081;4273;8354
"17";"Basilicata";53;4290;4292;8582
"17";"Basilicata";54;4215;4353;8568
"17";"Basilicata";55;4349;4504;8853
"17";"Basilicata";56;4133;4499;8632
"17";"Basilicata";57;4328;4474;8802
"17";"Basilicata";58;4472;4649;9121
"17";"Basilicata";59;4222;4349;8571
"17";"Basilicata";60;4276;4342;8618
"17";"Basilicata";61;4042;4331;8373
"17";"Basilicata";62;3927;4262;8189
"17";"Basilicata";63;3801;4034;7835
"17";"Basilicata";64;3726;3870;7596
"17";"Basilicata";65;3452;3950;7402
"17";"Basilicata";66;3616;3892;7508
"17";"Basilicata";67;3559;3623;7182
"17";"Basilicata";68;3421;3729;7150
"17";"Basilicata";69;3200;3358;6558
"17";"Basilicata";70;3068;3395;6463
"17";"Basilicata";71;2968;3323;6291
"17";"Basilicata";72;3132;3341;6473
"17";"Basilicata";73;3147;3334;6481
"17";"Basilicata";74;3101;3518;6619
"17";"Basilicata";75;2732;3179;5911
"17";"Basilicata";76;2426;2837;5263
"17";"Basilicata";77;1805;2268;4073
"17";"Basilicata";78;1820;2140;3960
"17";"Basilicata";79;1751;2106;3857
"17";"Basilicata";80;1622;2125;3747
"17";"Basilicata";81;1575;2050;3625
"17";"Basilicata";82;1837;2353;4190
"17";"Basilicata";83;1744;2406;4150
"17";"Basilicata";84;1551;2251;3802
"17";"Basilicata";85;1396;2139;3535
"17";"Basilicata";86;1245;1928;3173
"17";"Basilicata";87;1076;1779;2855
"17";"Basilicata";88;1005;1655;2660
"17";"Basilicata";89;814;1481;2295
"17";"Basilicata";90;674;1160;1834
"17";"Basilicata";91;536;996;1532
"17";"Basilicata";92;422;939;1361
"17";"Basilicata";93;344;718;1062
"17";"Basilicata";94;225;509;734
"17";"Basilicata";95;183;411;594
"17";"Basilicata";96;110;327;437
"17";"Basilicata";97;77;224;301
"17";"Basilicata";98;45;142;187
"17";"Basilicata";99;46;111;157
"17";"Basilicata";100;51;164;215
"17";"Basilicata";999;264702;271957;536659
"18";"Calabria";0;6954;6507;13461
"18";"Calabria";1;6699;6409;13108
"18";"Calabria";2;7093;6828;13921
"18";"Calabria";3;7372;7056;14428
"18";"Calabria";4;7667;7289;14956
"18";"Calabria";5;7923;7583;15506
"18";"Calabria";6;8100;7666;15766
"18";"Calabria";7;8287;7820;16107
"18";"Calabria";8;8341;7823;16164
"18";"Calabria";9;8253;7947;16200
"18";"Calabria";10;8677;8022;16699
"18";"Calabria";11;8773;8172;16945
"18";"Calabria";12;8872;8507;17379
"18";"Calabria";13;9157;8494;17651
"18";"Calabria";14;9020;8835;17855
"18";"Calabria";15;9310;8655;17965
"18";"Calabria";16;9627;8920;18547
"18";"Calabria";17;9526;8825;18351
"18";"Calabria";18;9833;9119;18952
"18";"Calabria";19;9729;9031;18760
"18";"Calabria";20;9684;8905;18589
"18";"Calabria";21;9923;9325;19248
"18";"Calabria";22;10118;9412;19530
"18";"Calabria";23;10069;9258;19327
"18";"Calabria";24;10189;9426;19615
"18";"Calabria";25;9883;9242;19125
"18";"Calabria";26;10119;9339;19458
"18";"Calabria";27;10031;9673;19704
"18";"Calabria";28;10198;9627;19825
"18";"Calabria";29;10651;10043;20694
"18";"Calabria";30;10645;10418;21063
"18";"Calabria";31;10676;10371;21047
"18";"Calabria";32;10980;10478;21458
"18";"Calabria";33;11139;10732;21871
"18";"Calabria";34;11304;11003;22307
"18";"Calabria";35;11082;10964;22046
"18";"Calabria";36;11115;10955;22070
"18";"Calabria";37;11244;11041;22285
"18";"Calabria";38;11591;11027;22618
"18";"Calabria";39;11376;11211;22587
"18";"Calabria";40;11528;11579;23107
"18";"Calabria";41;11563;11529;23092
"18";"Calabria";42;11851;11763;23614
"18";"Calabria";43;12039;12145;24184
"18";"Calabria";44;12305;12255;24560
"18";"Calabria";45;12349;12879;25228
"18";"Calabria";46;13009;13336;26345
"18";"Calabria";47;13049;13362;26411
"18";"Calabria";48;13088;13661;26749
"18";"Calabria";49;13062;13590;26652
"18";"Calabria";50;13101;13847;26948
"18";"Calabria";51;13190;14112;27302
"18";"Calabria";52;13075;13974;27049
"18";"Calabria";53;13645;14884;28529
"18";"Calabria";54;13524;14556;28080
"18";"Calabria";55;13705;14667;28372
"18";"Calabria";56;13741;14846;28587
"18";"Calabria";57;13668;14647;28315
"18";"Calabria";58;14241;15334;29575
"18";"Calabria";59;13409;14416;27825
"18";"Calabria";60;13307;14389;27696
"18";"Calabria";61;13111;14259;27370
"18";"Calabria";62;13057;13971;27028
"18";"Calabria";63;12721;13581;26302
"18";"Calabria";64;11830;12647;24477
"18";"Calabria";65;12236;12816;25052
"18";"Calabria";66;11711;12506;24217
"18";"Calabria";67;11605;12330;23935
"18";"Calabria";68;11491;12152;23643
"18";"Calabria";69;10851;11444;22295
"18";"Calabria";70;10085;10887;20972
"18";"Calabria";71;10231;11124;21355
"18";"Calabria";72;10280;11229;21509
"18";"Calabria";73;10236;11056;21292
"18";"Calabria";74;9939;11271;21210
"18";"Calabria";75;9606;10743;20349
"18";"Calabria";76;8476;9841;18317
"18";"Calabria";77;6460;7496;13956
"18";"Calabria";78;6413;7332;13745
"18";"Calabria";79;5958;7261;13219
"18";"Calabria";80;5780;7069;12849
"18";"Calabria";81;5335;6740;12075
"18";"Calabria";82;5850;7482;13332
"18";"Calabria";83;5413;7129;12542
"18";"Calabria";84;4608;6627;11235
"18";"Calabria";85;4219;5945;10164
"18";"Calabria";86;3633;5687;9320
"18";"Calabria";87;3344;5268;8612
"18";"Calabria";88;2908;4650;7558
"18";"Calabria";89;2561;4250;6811
"18";"Calabria";90;1977;3699;5676
"18";"Calabria";91;1572;3082;4654
"18";"Calabria";92;1292;2717;4009
"18";"Calabria";93;947;2003;2950
"18";"Calabria";94;691;1569;2260
"18";"Calabria";95;508;1211;1719
"18";"Calabria";96;369;898;1267
"18";"Calabria";97;247;650;897
"18";"Calabria";98;153;492;645
"18";"Calabria";99;120;321;441
"18";"Calabria";100;153;480;633
"18";"Calabria";999;901656;939644;1841300
"15";"Campania";0;22791;21570;44361
"15";"Campania";1;22188;20978;43166
"15";"Campania";2;23073;21792;44865
"15";"Campania";3;23837;22768;46605
"15";"Campania";4;24701;23014;47715
"15";"Campania";5;25532;24376;49908
"15";"Campania";6;25727;24377;50104
"15";"Campania";7;26118;24763;50881
"15";"Campania";8;26677;24943;51620
"15";"Campania";9;26817;25748;52565
"15";"Campania";10;28483;26559;55042
"15";"Campania";11;29051;27251;56302
"15";"Campania";12;30024;27961;57985
"15";"Campania";13;30454;29007;59461
"15";"Campania";14;30763;29440;60203
"15";"Campania";15;31517;30071;61588
"15";"Campania";16;31937;29983;61920
"15";"Campania";17;32165;30413;62578
"15";"Campania";18;33424;31324;64748
"15";"Campania";19;33033;31351;64384
"15";"Campania";20;32525;30723;63248
"15";"Campania";21;33371;31100;64471
"15";"Campania";22;33567;31072;64639
"15";"Campania";23;33525;30947;64472
"15";"Campania";24;33411;30828;64239
"15";"Campania";25;33169;30850;64019
"15";"Campania";26;33005;31127;64132
"15";"Campania";27;32295;31537;63832
"15";"Campania";28;32749;31454;64203
"15";"Campania";29;32972;32250;65222
"15";"Campania";30;34157;33918;68075
"15";"Campania";31;33739;33755;67494
"15";"Campania";32;33798;33478;67276
"15";"Campania";33;33570;33608;67178
"15";"Campania";34;34207;34432;68639
"15";"Campania";35;33623;33148;66771
"15";"Campania";36;33277;33080;66357
"15";"Campania";37;34375;33778;68153
"15";"Campania";38;34538;35164;69702
"15";"Campania";39;35101;35326;70427
"15";"Campania";40;36275;36098;72373
"15";"Campania";41;35467;36121;71588
"15";"Campania";42;36235;36350;72585
"15";"Campania";43;36758;37591;74349
"15";"Campania";44;37756;38761;76517
"15";"Campania";45;38696;39486;78182
"15";"Campania";46;40042;41048;81090
"15";"Campania";47;41498;42259;83757
"15";"Campania";48;42579;44163;86742
"15";"Campania";49;41749;43694;85443
"15";"Campania";50;41851;43880;85731
"15";"Campania";51;41949;44484;86433
