"Codice Regione";"Regione";"Età";"Maschi";"Femmine"
"13";"Abruzzo";0;405;346
"13";"Abruzzo";1;377;334
"13";"Abruzzo";2;399;373
"13";"Abruzzo";3;389;415
"13";"Abruzzo";4;458;390
"13";"Abruzzo";5;516;464
"13";"Abruzzo";6;471;439
"13";"Abruzzo";7;458;467
"13";"Abruzzo";8;474;472
"13";"Abruzzo";9;468;440
"13";"Abruzzo";10;449;468
"13";"Abruzzo";11;513;418
"13";"Abruzzo";12;462;389
"13";"Abruzzo";13;430;418
"13";"Abruzzo";14;402;397
"13";"Abruzzo";15;423;373
"13";"Abruzzo";16;409;376
"13";"Abruzzo";17;419;401
"13";"Abruzzo";18;428;368
"13";"Abruzzo";19;404;307
"13";"Abruzzo";20;402;295
"13";"Abruzzo";21;479;322
"13";"Abruzzo";22;558;381
"13";"Abruzzo";23;684;444
"13";"Abruzzo";24;735;468
"13";"Abruzzo";25;682;500
"13";"Abruzzo";26;748;519
"13";"Abruzzo";27;706;567
"13";"Abruzzo";28;722;597
"13";"Abruzzo";29;704;584
"13";"Abruzzo";30;778;698
"13";"Abruzzo";31;744;682
"13";"Abruzzo";32;796;779
"13";"Abruzzo";33;812;805
"13";"Abruzzo";34;825;923
"13";"Abruzzo";35;833;989
"13";"Abruzzo";36;901;957
"13";"Abruzzo";37;879;906
"13";"Abruzzo";38;846;942
"13";"Abruzzo";39;762;897
"13";"Abruzzo";40;804;896
"13";"Abruzzo";41;822;900
"13";"Abruzzo";42;882;956
"13";"Abruzzo";43;778;922
"13";"Abruzzo";44;833;929
"13";"Abruzzo";45;709;880
"13";"Abruzzo";46;684;801
"13";"Abruzzo";47;661;856
"13";"Abruzzo";48;644;839
"13";"Abruzzo";49;557;764
"13";"Abruzzo";50;575;813
"13";"Abruzzo";51;466;791
"13";"Abruzzo";52;548;773
"13";"Abruzzo";53;531;799
"13";"Abruzzo";54;483;752
"13";"Abruzzo";55;441;772
"13";"Abruzzo";56;342;580
"13";"Abruzzo";57;319;575
"13";"Abruzzo";58;340;562
"13";"Abruzzo";59;294;549
"13";"Abruzzo";60;302;535
"13";"Abruzzo";61;222;555
"13";"Abruzzo";62;270;499
"13";"Abruzzo";63;240;464
"13";"Abruzzo";64;217;396
"13";"Abruzzo";65;198;363
"13";"Abruzzo";66;169;345
"13";"Abruzzo";67;177;313
"13";"Abruzzo";68;141;319
"13";"Abruzzo";69;116;248
"13";"Abruzzo";70;112;240
"13";"Abruzzo";71;107;217
"13";"Abruzzo";72;98;180
"13";"Abruzzo";73;92;172
"13";"Abruzzo";74;72;133
"13";"Abruzzo";75;56;131
"13";"Abruzzo";76;63;96
"13";"Abruzzo";77;37;91
"13";"Abruzzo";78;36;71
"13";"Abruzzo";79;34;67
"13";"Abruzzo";80;37;64
"13";"Abruzzo";81;33;68
"13";"Abruzzo";82;39;51
"13";"Abruzzo";83;31;46
"13";"Abruzzo";84;23;28
"13";"Abruzzo";85;32;31
"13";"Abruzzo";86;12;26
"13";"Abruzzo";87;9;16
"13";"Abruzzo";88;7;23
"13";"Abruzzo";89;8;20
"13";"Abruzzo";90;7;17
"13";"Abruzzo";91;3;12
"13";"Abruzzo";92;2;9
"13";"Abruzzo";93;4;7
"13";"Abruzzo";94;3;7
"13";"Abruzzo";95;1;1
"13";"Abruzzo";96;0;2
"13";"Abruzzo";97;0;3
